alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text
laozi-chapter-041__align-001,laozi,laozi-chapter-041,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,1.0,1,老子 41.1 - 老子 41.2,上士聞道，勤而行之；,老子 41.1,"Scholars of the highest class, when they hear about the Dao, earnestly carry it into practice."
laozi-chapter-041__align-002,laozi,laozi-chapter-041,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,1.0,3,老子 41.3 - 老子 41.4,中士聞道，若存若亡；,老子 41.2,"Scholars of the middle class, when they have heard about it, seem now to keep it and now to lose it."
laozi-chapter-041__align-003,laozi,laozi-chapter-041,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,1.0,5,老子 41.5 - 老子 41.6,下士聞道，大笑之。,老子 41.3,"Scholars of the lowest class, when they have heard about it, laugh greatly at it."
laozi-chapter-041__align-004,laozi,laozi-chapter-041,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,7,老子 41.7,不笑不足以為道。,老子 41.4,"If it were not (thus) laughed at, it would not be fit to be the Dao."
laozi-chapter-041__align-005,laozi,laozi-chapter-041,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,8,老子 41.8,故建言有之﹕,老子 41.5,Therefore the sentence-makers have thus expressed themselves:
laozi-chapter-041__align-006,laozi,laozi-chapter-041,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,9,老子 41.9,明道若昧，,老子 41.6,"'The Dao, when brightest seen, seems light to lack;"
laozi-chapter-041__align-007,laozi,laozi-chapter-041,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,10,老子 41.10,進道若退，,老子 41.7,"Who progress in it makes, seems drawing back;"
laozi-chapter-041__align-008,laozi,laozi-chapter-041,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,11,老子 41.11,夷道若纇，,老子 41.8,Its even way is like a rugged track.
laozi-chapter-041__align-009,laozi,laozi-chapter-041,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,12,老子 41.12,上德若谷，,老子 41.9,Its highest virtue from the vale doth rise;
laozi-chapter-041__align-010,laozi,laozi-chapter-041,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,13,老子 41.13,大白若辱，,老子 41.10,Its greatest beauty seems to offend the eyes;
laozi-chapter-041__align-011,laozi,laozi-chapter-041,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,14,老子 41.14,廣德若不足，,老子 41.11,And he has most whose lot the least supplies.
laozi-chapter-041__align-012,laozi,laozi-chapter-041,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,15,老子 41.15,建德若偷，,老子 41.12,Its firmest virtue seems but poor and low;
laozi-chapter-041__align-013,laozi,laozi-chapter-041,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,16,老子 41.16,質真若渝，,老子 41.13,Its solid truth seems change to undergo;
laozi-chapter-041__align-014,laozi,laozi-chapter-041,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,17,老子 41.17,大方無隅，,老子 41.14,Its largest square doth yet no corner show
laozi-chapter-041__align-015,laozi,laozi-chapter-041,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,18,老子 41.18,大器晚成，,老子 41.15,"A vessel great, it is the slowest made;"
laozi-chapter-041__align-016,laozi,laozi-chapter-041,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,19,老子 41.19,大音希聲，,老子 41.16,"Loud is its sound, but never word it said;"
laozi-chapter-041__align-017,laozi,laozi-chapter-041,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,20,老子 41.20,大象無形，,老子 41.17,"A semblance great, the shadow of a shade.'"
laozi-chapter-041__align-018,laozi,laozi-chapter-041,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,21,老子 41.21,道隱無名。,老子 41.18,"The Dao is hidden, and has no name;"
laozi-chapter-041__align-019,laozi,laozi-chapter-041,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,1.0,22,老子 41.22 - 老子 41.23,夫唯道，善貸且成。,老子 41.19,but it is the Dao which is skilful at imparting (to all things what they need) and making them complete.
