alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text,translation_text_raw,witness_repairs
shiji-003-annals-of-yin__aligned-001,shiji,shiji-003-annals-of-yin,chapter,sentence,block,False,,1,1,exact_or_near_exact,0.96,1,史記·《殷本紀》 1,殷契，母曰簡狄，有娀氏之女，為帝嚳次妃。,史記·《殷本紀》 1,"Qi of Yin's mother was Jian Di, who was one of the daughters of Yousong and the secondary wife of Emperor Ku.","Qi of Yin's mother was Jian Di, who was one of the daughters of Yousong and the secondary wife of Emperor Ku.",[]
shiji-003-annals-of-yin__aligned-002,shiji,shiji-003-annals-of-yin,chapter,sentence,block,False,,1,1,exact_or_near_exact,0.96,2,史記·《殷本紀》 2,三人行浴，見玄鳥墮其卵，簡狄取吞之，因孕生契。,史記·《殷本紀》 2,"She was going with her two sisters to bathe, when she saw a dark bird drop its egg.","She was going with her two sisters to bathe, when she saw a dark bird drop its egg.",[]
shiji-003-annals-of-yin__aligned-003,shiji,shiji-003-annals-of-yin,chapter,sentence,block,False,,1,1,exact_or_near_exact,0.96,3,史記·《殷本紀》 3,契長而佐禹治水有功。,史記·《殷本紀》 3,"Jian Di picked it up, and swallowed it, and thus being with child gave birth to Qi.","Jian Di picked it up, and swallowed it, and thus being with child gave birth to Qi.",[]
shiji-003-annals-of-yin__aligned-004,shiji,shiji-003-annals-of-yin,chapter,sentence,block,False,,1,1,exact_or_near_exact,0.96,4,史記·《殷本紀》 4,帝舜乃命契曰：,史記·《殷本紀》 4,"When Qi grew up, he was successful in assisting Yu to control the flood, and the Emperor Shun, directing Qi, said:","When Qi grew up, he was successful in assisting Yu to control the flood, and the Emperor Shun, directing Qi, said:",[]
shiji-003-annals-of-yin__aligned-005,shiji,shiji-003-annals-of-yin,chapter,sentence,block,False,,1,1,exact_or_near_exact,0.96,5,史記·《殷本紀》 5,「百姓不親，五品不訓，汝為司徒而敬敷五教，五教在寬。,史記·《殷本紀》 5,"The people are wanting in affection for one another, and do not observe the five orders of relationship.","The people are wanting in affection for one another, and do not observe the five orders of relationship.",[]
shiji-003-annals-of-yin__aligned-006,shiji,shiji-003-annals-of-yin,chapter,sentence,block,False,,1,1,exact_or_near_exact,0.96,6,史記·《殷本紀》 6,」封于商，賜姓子氏。,史記·《殷本紀》 6,"You, as Minister of Instruction, should reverently inculcate the lessons of duty belonging to those five orders, but do so with gentleness.","You, as Minister of Instruction, should reverently inculcate the lessons of duty belonging to those five orders, but do so with gentleness.",[]
shiji-003-annals-of-yin__aligned-007,shiji,shiji-003-annals-of-yin,chapter,sentence,block,False,,1,1,exact_or_near_exact,0.96,7,史記·《殷本紀》 7,契興於唐、虞、大禹之際，功業著於百姓，百姓以平。,史記·《殷本紀》 7,"He held in fief the principality of Shang, and was given the Surname Of Zi.","He held in fief the principality of Shang, and was given the Surname Of Zi.",[]
shiji-003-annals-of-yin__aligned-008,shiji,shiji-003-annals-of-yin,chapter,sentence,block,False,,1,1,exact_or_near_exact,0.96,8,史記·《殷本紀》 8,契卒，子昭明立。,史記·《殷本紀》 8,"Qi flourished in the reigns of Yao, Shun, and the great Yu.","Qi flourished in the reigns of Yao, Shun, and the great Yu.",[]
shiji-003-annals-of-yin__aligned-009,shiji,shiji-003-annals-of-yin,chapter,sentence,block,False,,1,1,exact_or_near_exact,0.96,9,史記·《殷本紀》 9,昭明卒，子相土立。,史記·《殷本紀》 9,"His services were manifest to the people, who were accordingly at peace.","His services were manifest to the people, who were accordingly at peace.",[]
shiji-003-annals-of-yin__aligned-010,shiji,shiji-003-annals-of-yin,chapter,sentence,block,False,,1,1,exact_or_near_exact,0.96,10,史記·《殷本紀》 10,相土卒，子昌若立。,史記·《殷本紀》 10,"Qi died, and His Son Zhaoming succeeded him.","Qi died, and His Son Zhaoming succeeded him.",[]
shiji-003-annals-of-yin__aligned-011,shiji,shiji-003-annals-of-yin,chapter,sentence,block,False,,1,1,exact_or_near_exact,0.96,11,史記·《殷本紀》 11,昌若卒，子曹圉立。,史記·《殷本紀》 11,"Zhaoming died, and His Son Xiangtu succeeded him.","Zhaoming died, and His Son Xiangtu succeeded him.",[]
shiji-003-annals-of-yin__aligned-012,shiji,shiji-003-annals-of-yin,chapter,sentence,block,False,,1,1,exact_or_near_exact,0.96,12,史記·《殷本紀》 12,曹圉卒，子冥立。,史記·《殷本紀》 12,"Xiangtu died, and his Son Chang Ruo succeeded him.","Xiangtu died, and his Son Chang Ruo succeeded him.",[]
shiji-003-annals-of-yin__aligned-013,shiji,shiji-003-annals-of-yin,chapter,sentence,block,False,,1,1,exact_or_near_exact,0.96,13,史記·《殷本紀》 13,冥卒，子振立。,史記·《殷本紀》 13,"Chang Ruo died, and his Son Cao Yu succeeded him.","Chang Ruo died, and his Son Cao Yu succeeded him.",[]
shiji-003-annals-of-yin__aligned-014,shiji,shiji-003-annals-of-yin,chapter,sentence,block,False,,1,1,exact_or_near_exact,0.96,14,史記·《殷本紀》 14,振卒，子微立。,史記·《殷本紀》 14,"Cao Yu died, and His Son Ming succeeded him.","Cao Yu died, and His Son Ming succeeded him.",[]
