alignment_id,section_id,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text
lunyu__book-04-liren__001__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,1,論語 4.1,子曰：「里仁爲美。擇不處仁，焉得知？」,Analects I.1,"The Master said, ""It is virtuous manners which constitute the excellence of a neighborhood. If a man in selecting a residence, do not fix on one where such prevail, how can he be wise?"""
lunyu__book-04-liren__002__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,2,論語 4.2,子曰：「不仁者，不可以久處約，不可以長處樂。仁者安仁，知者利仁。」,Analects II.2,"The Master said, ""Those who are without virtue cannot abide long either in a condition of poverty and hardship, or in a condition of enjoyment. The virtuous rest in virtue; the wise desire virtue."""
lunyu__book-04-liren__003__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,3,論語 4.3,子曰：「惟仁者能好人，能惡人。」,Analects III.3,"The Master said, ""It is only the (truly) virtuous man, who can love, or who can hate, others."""
lunyu__book-04-liren__004__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,4,論語 4.4,子曰：「苟志於仁矣，無惡也。」,Analects IV.4,"The Master said, ""If the will be set on virtue, there will be no practice of wickedness."""
lunyu__book-04-liren__005__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,5,論語 4.5,子曰：「富與貴，是人之所欲也，不以其道得之，不處也。貧與賤，是人之所惡也；不以其道得之，不去也。君子去仁，惡乎成名？君子無終食之閒違仁，造次必於是，顛沛必於是。」,Analects V.5,"The Master said, ""Riches and honours are what men desire. If it cannot be obtained in the proper way, they should not be held. Poverty and meanness are what men dislike. If it cannot be avoided in the proper way, they should not be avoided. ""If a superior man abandon virtue, how can he fulfil the requirements of that name? ""The superior man does not, even for the space of a single meal, act contrary to virtue. In moments of haste, he cleaves to it. In seasons of danger, he cleaves to it."""
lunyu__book-04-liren__006__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,6,論語 4.6,子曰：「我未見好仁者，惡不仁者。好仁者，無以尙之；惡不仁者，其爲仁矣。不使不仁者加乎其身。有能一日用其力於仁矣乎？我未見力不足者！蓋有之矣，我未之見也。」,Analects VI.6,"The Master said, ""I have not seen a person who loved virtue, or one who hated what was not virtuous. He who loved virtue, would esteem nothing above it. He who hated what is not virtuous, would practise virtue in such a way that he would not allow anything that is not virtuous to approach his person. ""Is any one able for one day to apply his strength to virtue? I have not seen the case in which his strength would be insufficient. ""Should there possibly be any such case, I have not seen it."""
lunyu__book-04-liren__007__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,7,論語 4.7,子曰：「人之過也，各於其黨。觀過，斯知仁矣。」,Analects VII.7,"The Master said, ""The faults of men are characteristic of the class to which they belong. By observing a man's faults, it may be known that he is virtuous."""
lunyu__book-04-liren__008__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,8,論語 4.8,子曰：「朝聞道，夕死可矣！」,Analects VIII.8,"The Master said, ""If a man in the morning hear the right way, he may die in the evening without regret."""
lunyu__book-04-liren__009__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,9,論語 4.9,子曰：「士志於道，而恥惡衣惡食者，未足與議也！」,Analects IX.9,"The Master said, ""A scholar, whose mind is set on truth, and who is ashamed of bad clothes and bad food, is not fit to be discoursed with."""
lunyu__book-04-liren__010__zhwikisource-20260529__legge-cc-v1-1893,book-04-liren,exact_or_near_exact,0.99,10,論語 4.10,子曰：「君子之於天下也，無適也，無莫也，義之與比。」,Analects X.10,"The Master said, ""The superior man, in the world, does not set his mind either for anything, or against anything; what is right he will follow."""
