alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text,translation_text_raw,witness_repairs
laozi-chapter-008__align-001,laozi,laozi-chapter-008,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,1,老子 8.1,上善若水。,老子 8.1,The highest excellence is like (that of) water.,The highest excellence is like (that of) water.,[]
laozi-chapter-008__align-002,laozi,laozi-chapter-008,chapter,sentence,grouped,False,,2,2,exact_or_near_exact,1.0,2,老子 8.2 - 老子 8.3,水善利萬物而不爭，處眾人之所惡，,老子 8.2 - 老子 8.3,"The excellence of water appears in its benefiting all things, and in its occupying, without striving (to the contrary), the low place which all men dislike. Hence (its way) is near to (that of) the Dao.","The excellence of water appears in its benefiting all things, and in its occupying, without striving (to the contrary), the low place which all men dislike. Hence (its way) is near to (that of) the Dao.",[]
laozi-chapter-008__align-003,laozi,laozi-chapter-008,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,4,老子 8.4,故幾於道。,老子 8.4,The excellence of a residence is in (the suitability of) the place;,The excellence of a residence is in (the suitability of) the place;,[]
laozi-chapter-008__align-004,laozi,laozi-chapter-008,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,5,老子 8.5,居善地，,老子 8.5,that of the mind is in abysmal stillness;,that of the mind is in abysmal stillness;,[]
laozi-chapter-008__align-005,laozi,laozi-chapter-008,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,6,老子 8.6,心善淵，,老子 8.6,that of associations is in their being with the virtuous;,that of associations is in their being with the virtuous;,[]
laozi-chapter-008__align-006,laozi,laozi-chapter-008,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,7,老子 8.7,與善仁，,老子 8.7,that of words is in their trustworthiness;,that of words is in their trustworthiness;,[]
laozi-chapter-008__align-007,laozi,laozi-chapter-008,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,8,老子 8.8,言善信，,老子 8.8,that of government is in its securing good order;,that of government is in its securing good order;,[]
laozi-chapter-008__align-008,laozi,laozi-chapter-008,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,9,老子 8.9,正善治，,老子 8.9,that of (the conduct of) affairs is in its ability;,that of (the conduct of) affairs is in its ability;,[]
laozi-chapter-008__align-009,laozi,laozi-chapter-008,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,1.0,10,老子 8.10 - 老子 8.11,事善能，動善時。,老子 8.10,and that of (the initiation of) any movement is in its timeliness.,and that of (the initiation of) any movement is in its timeliness.,[]
laozi-chapter-008__align-010,laozi,laozi-chapter-008,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,1.0,12,老子 8.12 - 老子 8.13,夫唯不爭，故無尤。,老子 8.11,"And when (one with the highest excellence) does not wrangle (about his low position), no one finds fault with him.","And when (one with the highest excellence) does not wrangle (about his low position), no one finds fault with him.",[]
