alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text
mozi-013-identification-with-the-superior-iii__align-0001,mozi,mozi-013-identification-with-the-superior-iii,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,0.93,1,13.1 - 13.2,子墨子言曰：知者之事，必計國家百姓所以治者而爲之，必計國家百姓之所以亂者而辟之。,13.1,: Motse said : The interest of the wise (ruler) lies in carrying out what makes for order among the people and avoiding what makes for confusion.
mozi-013-identification-with-the-superior-iii__align-0002,mozi,mozi-013-identification-with-the-superior-iii,chapter,sentence,grouped,False,,3,3,exact_or_near_exact,0.93,3,13.3 - 13.5,然計國家百姓之所以治者，何也？上之爲政，得下之情則治，不得下之情則亂。何以知其然也？,13.2 - 13.4,"But what is it that makes for order among the people ? When the administration of the ruler answers to the desires of the people there will be order, otherwise there will be confusion. How do we know it is so ?"
mozi-013-identification-with-the-superior-iii__align-0003,mozi,mozi-013-identification-with-the-superior-iii,chapter,sentence,grouped,False,,5,6,exact_or_near_exact,0.93,6,13.6 - 13.10,上之爲政，得下之情，則是明於民之善非也。若苟明於民之善非也，則得善人而賞之，得暴人而罰之也。善人賞而暴人罰，則國必治。上之爲政也，不得下之情，則是不明於民之善非也，若苟不明於民之善非，則是不得善人而賞之，不得暴人而罰之。善人不賞而暴人不罰，爲政若此，國衆必亂。,13.5 - 13.10,"When the administration of the ruler answers to the desires of the subjects, it manifests an imderstanduig of the approvals and disapprovals of the people. When there is such an under-standing, the good will be discovered and rewarded and the bad will be discovered and punished, and the country will surely have order. When the administration of the ruler does not answer to the desires of the subjects, it shows a lack of understanding of the approvals and disapprovals of the subjects. When there is no such understanding then the good will not be discovered and rewarded and the bad will not be discovered and punished. With the good unrewarded and the evil unpunished, such a government will surely put the country into disorder. Therefore when rewards and punishments do not answer to the desires of the people, the matter has to be carefully looked into."
mozi-013-identification-with-the-superior-iii__align-0004,mozi,mozi-013-identification-with-the-superior-iii,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,0.93,11,13.11 - 13.12,故賞不得下之情，而不可不察者也。然計得下之情，將奈何可？,13.11,But how can the desires of the people (being so many and various) be met ?
mozi-013-identification-with-the-superior-iii__align-0005,mozi,mozi-013-identification-with-the-superior-iii,chapter,sentence,grouped,False,,6,6,exact_or_near_exact,0.93,13,13.13 - 13.18,故子墨子曰：唯能以尚同一義爲政，然後可矣！何以知尚同一義之可而爲政於天下也？然胡不審稽之古之治爲政之說乎？古者天之始生民，未有正長也，百姓爲人。若苟百姓爲人，是一人一義，十人十義，百人百義，千人千義。,13.12 - 13.17,"Therefore Motse said : It can be done only by adopting the principle of Identification with the Superior in government. IDENTIFICATION WITH SUPERIOR’ (III) 71 How do we know the principle of Identification with the Superior can govern the empire ? ■Why not then examine the administration and the theory of government of the ancient times ? In the beginning there was no ruler and everybody was independent. Since every one was independent, there would be one purpose when there was one man, ten purposes when there were ten men, a hundred purposes when there were a hundred men, a thousand purposes when there were a thousand men and so on until the number of men became innumerable and the number of different purposes became innumerable with it. And all of them approved their own ideas and disapproved those of others."
mozi-013-identification-with-the-superior-iii__align-0006,mozi,mozi-013-identification-with-the-superior-iii,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,0.93,19,13.19 - 13.20,逮至人之衆，不可勝計也。則其所謂義者，亦不可勝計。,13.18,And there was strife among the strong and struggle among the weak.
mozi-013-identification-with-the-superior-iii__align-0007,mozi,mozi-013-identification-with-the-superior-iii,chapter,sentence,grouped,False,,3,5,exact_or_near_exact,0.93,21,13.21 - 13.23,此皆是其義，而非人之義，是以厚者有鬬，而薄者有爭。是故天下之欲同一天下之義也，是故選擇賢者，立爲天子。天子以其知力爲未足獨治天下，是以選擇其次，立爲三公。,13.19 - 13.23,"Thereupon Heaven  wished to unify the standards in the world. The virtuous was selected and made emperor. Con-scious of the insufficiency of his power alone to govern the empire, the emperor chose the next best (in virtue and wisdom) and honoured them to be the three ministers. Conscious of the insuflficiency of their powers alone to assist the emperor, the three ministers in turn divided the empire into feudal states and assigned them to feudal lords. Conscious of the insufficiency of his power alone to govern all that were within his four borders, the feudal lord in turn selected his next beat and commissioned them ministers and secretaries."
mozi-013-identification-with-the-superior-iii__align-0008,mozi,mozi-013-identification-with-the-superior-iii,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,0.93,24,13.24 - 13.25,三公又以其知力爲未足獨左右天子也，是以分國建諸侯。諸侯又以其知力爲未足獨治其四境之內也，是以選擇其次，立爲卿之宰。,13.24,"Conscious of the insufficiency of their power alone to assist their feudal lord, the ministers and secretaries again selected their next best and appointed them district heads and clan patriarchs."
mozi-013-identification-with-the-superior-iii__align-0009,mozi,mozi-013-identification-with-the-superior-iii,chapter,sentence,grouped,False,,3,6,exact_or_near_exact,0.93,26,13.26 - 13.28,卿之宰又以其知力爲未足獨左右其君也，是以選擇其次，立而爲鄉長、家君。是故古者天子之立三公、諸侯、卿之宰、鄉長、家君，非特富貴游佚而擇之也，將使助治亂刑政也。故古者建國設都，乃立后王君公，奉以卿士師長，此非欲用說也，唯辯而使助治天明也。,13.25 - 13.30,"lords, the ministers and secretaries, and tlie district heads and clan patriarchs, the emperor was not selecting them for wealth and honour, leisure and ease. It was to employ them to help in administration and jurisdiction. Hence, when Heaven established the empire and located the .capital and commissioned the sovereign, kings, lords, and dukes, and appointed secretaries, scholars, professors, and elders — it was not to give them ease, but only to divide up the task and let them help carry out the light of Heaven. Why are the superiors now imable to govern their sub-ordinates, and the subordinates unwilling to serve their superiors 1 It is because of a mutual disregard. What is the reason for this ? The reason is a difierence in standards."
mozi-013-identification-with-the-superior-iii__align-0010,mozi,mozi-013-identification-with-the-superior-iii,chapter,sentence,grouped,False,,3,2,exact_or_near_exact,0.93,29,13.29 - 13.31,今此何爲人上而不能治其下？爲人下而不能事其上？則是上下相賊也。,13.31 - 13.32,Whenever standards differ there will be opposition. The ruler may think a man good and reward him.
