alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text
mozi-006-indulgence-in-excess__align-0001,mozi,mozi-006-indulgence-in-excess,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,0.93,1,6.1 - 6.2,子墨子曰：古之民未知爲宮室時，就陵阜而居，穴而處。,6.1,Motse said ; Before the art of building houses and palaces was known primitive people lingered by the mounds and lived in caves.
mozi-006-indulgence-in-excess__align-0002,mozi,mozi-006-indulgence-in-excess,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,0.93,3,6.3,下潤濕傷民，故聖王作爲宮室。,6.2,It was damp and injurious to health.
mozi-006-indulgence-in-excess__align-0003,mozi,mozi-006-indulgence-in-excess,chapter,sentence,grouped,False,,6,2,exact_or_near_exact,0.93,4,6.4 - 6.9,爲宮室之法，曰：室高足以辟潤濕，邊足以圉風寒，上足以待雪霜雨露，宮牆之高足以別男女之禮。謹此則止。凡費財勞力，不加利者，不爲也。役，脩其城郭，則民勞而不傷；以其常正，收其租稅，則民費而不病。,6.3 - 6.4,"There-upon the sage-kings  built houses and palaces. The guiding principles for these buildings were these : The house shall be built high enough to avoid the damp and moisture ; the walls thick enough to keep out the wind and cold ; the roof strong enough to stand snow, frost, rain, and dew ; and the walls in the palace high enough to observe the propriety of the sexes."
mozi-006-indulgence-in-excess__align-0004,mozi,mozi-006-indulgence-in-excess,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,0.93,10,6.10 - 6.11,民所苦者，非此也，苦於厚作斂於百姓。[1]是故聖王作爲宮室，便於生，不以爲觀樂也。,6.5,"These are suiSScient, and any expenditure of money and energy that does not bring additional utility shall not be permitted."
mozi-006-indulgence-in-excess__align-0005,mozi,mozi-006-indulgence-in-excess,chapter,sentence,grouped,False,,4,6,exact_or_near_exact,0.93,12,6.12 - 6.15,作爲衣服帶履，便於身，不以爲辟怪也。故節於身，誨於民，是以天下之民可得而治，財用可得而足。當今之主，其爲宮室則與此異矣。必厚作斂於百姓，暴奪民衣食之財，以爲宮室臺榭曲直之望、青黃刻鏤之飾。,6.6 - 6.11,"When the city walls are repaired with regular labour, the people may feel tired but there is no exhaustion. When taxes are collected according to custom, the people may be deprived of some money but there is no bitterness. The real woe of the people does not lie here, it lies in heavy taxes. The sage-kings built houses and palaces in order to better the living conditions and not for pleasures of sight. They made clothes and hats, belts and shoes in order to protect the body and not for novelty. They were thrifty themselves and taught the people to be the same."
mozi-006-indulgence-in-excess__align-0006,mozi,mozi-006-indulgence-in-excess,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,0.93,16,6.16 - 6.17,爲宮室若此，故左右皆法象之。是以其財不足以待凶饑，振孤寡，故國貧而民難治也。,6.12,"And, so, the people in the whole world became orderly and wealth was sufficient for use."
mozi-006-indulgence-in-excess__align-0007,mozi,mozi-006-indulgence-in-excess,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,0.93,18,6.18,君實欲天下之治而惡其亂也，當爲宮室不可不節。,6.13,"When tile present rulers' build tbeir residences, tbey are quite'' different : from this."
mozi-006-indulgence-in-excess__align-0008,mozi,mozi-006-indulgence-in-excess,chapter,sentence,grouped,False,,4,6,exact_or_near_exact,0.93,19,6.19 - 6.22,古之民未知爲衣服時，衣皮帶茭，冬則不輕而溫，夏則不輕而清。聖王以爲不中人之情，故作誨婦人治絲麻，梱布絹，以爲民衣。爲衣服之法：冬則練帛之中，足以爲輕且煖；,6.14 - 6.19,"They would heavily tax the people, robbing them’ of their means of livelihood, in ordei' to have' their palaces 'covered with porches and pavilions in vario'iis designs, and adorned with paintings and sculpture. When the ruler builds his palaces in this fashion, his assistants , naturally imitate ■ him. And, so, there is not sufficient wealth to prepare against famine and dearth or to relieve the orphans and widows. And the people become more unruly as the state becomes poorer. If the rulers sincerely desire to have the empire orderly and hate to see it in disorder, they must not indulge in building houses and palaces. Before clothing was known the primitive people wore coats of furs and belts of straw."
mozi-006-indulgence-in-excess__align-0009,mozi,mozi-006-indulgence-in-excess,chapter,sentence,grouped,False,,4,5,exact_or_near_exact,0.93,23,6.23 - 6.26,夏則絺綌之中，足以爲輕且凊。謹此則止。故聖人爲衣服，適身體，和肌膚而足矣，非榮耳目而觀愚民也。當是之時，堅車良馬不知貴也，刻鏤文采不知喜也。,6.20 - 6.24,"They were neither light and warm in winter nor light and cool in summer. The sage-Mng thought this did not satisfy the needs of man. So, he taught the women to produce silk and flax and to weave cloth and linen, therewith to make clothing for the people. The guiding principles for clothing were these : In winter the underwear shall be made of spun-silk so as to be light and warm. In summer it shall be made of coarse flax so as to be light and cool."
mozi-006-indulgence-in-excess__align-0010,mozi,mozi-006-indulgence-in-excess,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,0.93,27,6.27 - 6.28,何則？其所道之然。,6.25,And this is sufficient.
