alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text
lunyu__book-19-zizhang__001__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-19-zizhang,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,1,論語 19.1,子張曰：「士見危致命，見得思義，祭思敬，喪思哀，其可已矣。」,Analects I.1,"Tsze-chang said, ""The scholar, trained for public duty, seeing threatening danger, is prepared to sacrifice his life. When the opportunity of gain is presented to him, he thinks of righteousness. In sacrificing, his thoughts are reverential. In mourning, his thoughts are about the grief which he should feel. Such a man commands our approbation indeed."""
lunyu__book-19-zizhang__002__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-19-zizhang,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,2,論語 19.2,子張曰：「執德不弘，信道不篤，焉能爲有？焉能爲亡？」,Analects II.2,"Tsze-chang said, ""When a man holds fast to virtue, but without seeking to enlarge it, and believes right principles, but without firm sincerity, what account can be made of his existence or non-existence?"""
lunyu__book-19-zizhang__003__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-19-zizhang,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,3,論語 19.3,子夏之門人，問「交」於子張。子張曰：「子夏云何？」對曰：「子夏曰：『可者與之，其不可者拒之。』」子張曰：「異乎吾所聞；『君子尊賢而容眾，嘉善而矜不能。』我之大賢與，於人何所不容？我之不賢與，人將拒我，如之何其拒人也？」,Analects III.3,"The disciples of Tsze-hsia asked Tsze-chang about the principles that should characterize mutual intercourse. Tsze-chang asked, ""What does Tsze-hsia say on the subject?"" They replied, ""Tsze-hsia says:—'Associate with those who can advantage you. Put away from you those who cannot do so.'"" Tsze-chang observed, ""This is different from what I have learned. The superior man honours the talented and virtuous, and bears with all. He praises the good, and pities the incompetent. Am I possessed of great talents and virtue?—who is there among men whom I will not bear with? Am I devoid of talents and virtue?—men will put me away from them. What have we to do with the putting away of others?"""
lunyu__book-19-zizhang__004__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-19-zizhang,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,4,論語 19.4,子夏曰：「雖小道，必有可觀者焉，致遠恐泥，是以君子不爲也。」,Analects IV.4,"Tsze-hsia said, ""Even in inferior studies and employments there is something worth being looked at; but if it be attempted to carry them out to what is remote, there is a danger of their proving inapplicable. Therefore, the superior man does not practise them."""
lunyu__book-19-zizhang__005__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-19-zizhang,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,5,論語 19.5,子夏曰：「日知其所亡，月無忘其所能，可謂好學也已矣。」,Analects V.5,"Tsze-hsia said, ""He, who from day to day recognises what he has not yet, and from month to month does not forget what he has attained to, may be said indeed to love to learn."""
lunyu__book-19-zizhang__006__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-19-zizhang,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,6,論語 19.6,子夏曰：「博學而篤志，切問而近思，仁在其中矣。」,Analects VI.6,"Tsze-hsia said, ""There are learning extensively, and having a firm and sincere aim; inquiring with earnestness, and reflecting with self-application:—virtue is in such a course."""
lunyu__book-19-zizhang__007__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-19-zizhang,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,7,論語 19.7,子夏曰：「百工居肆以成其事，君子學以致其道。」,Analects VII.7,"Tsze-hsia said, ""Mechanics have their shops to dwell in, in order to accomplish their works. The superior man learns, in order to reach to the utmost of his principles."""
lunyu__book-19-zizhang__008__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-19-zizhang,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,8,論語 19.8,子夏曰：「小人之過也必文。」,Analects VIII.8,"Tsze-hsia said, ""The mean man is sure to gloss his faults."""
lunyu__book-19-zizhang__009__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-19-zizhang,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,9,論語 19.9,子夏曰：「君子有三變：望之儼然，卽之也溫，聽其言也厲。」,Analects IX.9,"Tsze-hsia said, ""The superior man undergoes three changes. Looked at from a distance, he appears stern; when approached, he is mild; when he is heard to speak, his language is firm and decided."""
lunyu__book-19-zizhang__010__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-19-zizhang,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,10,論語 19.10,子夏曰：「君子信而後勞其民，未信則以爲厲己也。信而後諫，未信則以爲謗己也。」,Analects X.10,"Tsze-hsia said, ""The superior man, having obtained their confidence, may then impose labours on his people. If he have not gained their confidence, they will think that he is oppressing them. Having obtained the confidence of his prince, one may then remonstrate with him. If he have not gained his confidence, the prince will think that he is vilifying him."""
lunyu__book-19-zizhang__011__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-19-zizhang,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,11,論語 19.11,子夏曰：「大德不踰閑，小德出入可也。」,Analects XI.11,"Tsze-hsia said, ""When a person does not transgress the boundary line in the great virtues, he may pass and repass it in the small virtues."""
lunyu__book-19-zizhang__012__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-19-zizhang,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,12,論語 19.12,子游曰：「子夏之門人小子，當洒掃應對進退則可矣，抑末也；本之則無，如之何？」子夏聞之曰：「噫！言游過矣！君子之道，孰先傳焉？孰後倦焉？譬諸草木，區以別矣。君子之道，焉可誣也？有始有卒者，其惟聖人乎！」,Analects XII.12,"Tsze-yu said, ""The disciples and followers of Tsze-hsia, in sprinkling and sweeping the ground, in answering and replying, in advancing and receding, are sufficiently accomplished. But these are only the branches of learning, and they are left ignorant of what is essential.—How can they be acknowledged as sufficiently taught?"" Tsze-hsia heard of the remark and said, ""Alas! Yen Yu is wrong. According to the way of the superior man in teaching, what departments are there which he considers of prime importance, and delivers? what are there which he considers of secondary importance, and allows himself to be idle about? But as in the case of plants, which are assorted according to their classes, so he deals with his disciples. How can the way of a superior man be such as to make fools of any of them? Is it not the sage alone, who can unite in one the beginning and the consummation of learning?"""
lunyu__book-19-zizhang__013__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-19-zizhang,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,13,論語 19.13,子夏曰：「仕而優則學，學而優則仕。」,Analects XIII.13,"Tsze-hsia said, ""The officer, having discharged all his duties, should devote his leisure to learning. The student, having completed his learning, should apply himself to be an officer."""
lunyu__book-19-zizhang__014__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-19-zizhang,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,14,論語 19.14,子游曰：「喪致乎哀而止。」,Analects XIV.14,"Tsze-hsia said, ""Mourning, having been carried to the utmost degree of grief, should stop with that."""
lunyu__book-19-zizhang__015__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-19-zizhang,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,15,論語 19.15,子游曰：「吾友張也，爲難能也，然而未仁。」,Analects XV.15,"Tsze-hsia said, ""My friend Chang can do things which are hard to be done, but yet he is not perfectly virtuous."""
lunyu__book-19-zizhang__016__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-19-zizhang,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,16,論語 19.16,曾子曰：「堂堂乎張也，難與並爲仁矣。」,Analects XVI.16,"The philosopher Tsang said, ""How imposing is the manner of Chang! It is difficult along with him to practise virtue."""
lunyu__book-19-zizhang__017__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-19-zizhang,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,17,論語 19.17,曾子曰：「吾聞諸夫子：『人未有自致者也，必也親喪乎！』」,Analects XVII.17,"The philosopher Tsang said, ""I heard this from our Master:—'Men may not have shown what is in them to the full extent, and yet they will be found to do so, on occasion of mourning for their parents.'"""
lunyu__book-19-zizhang__018__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-19-zizhang,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,18,論語 19.18,曾子曰：「吾聞諸夫子：『孟莊子之孝也，其他可能也，其不改父之臣，與父之政，是難能也。』」,Analects XVIII.18,"The philosopher Tsang said, ""I have heard this from our Master:—'The filial piety of Mang Chwang, in other matters, was what other men are competent to, but, as seen in his not changing the ministers of his father, nor his father's mode of government, it is difficult to be attained to.'"""
lunyu__book-19-zizhang__019__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-19-zizhang,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,19,論語 19.19,孟氏使陽膚爲士師，問於曾子。曾子曰：「上失其道，民散久矣！如得其情，則哀矜而勿喜。」,Analects XIX.19,"The chief of the Mang family having appointed Yang Fu to be chief criminal judge, the latter consulted the philosopher Tsang. Tsang said, ""The rulers have failed in their duties, and the people consequently have been disorganised, for a long time. When you have found out the truth of any accusation, be grieved for and pity them, and do not feel joy at your own ability."""
lunyu__book-19-zizhang__020__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-19-zizhang,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,20,論語 19.20,子貢曰：「紂之不善，不如是之甚也。是以君子惡居下流，天下之惡皆歸焉。」,Analects XX.20,"Tsze-kung said, ""Chau's wickedness was not so great as that name implies. Therefore, the superior man hates to dwell in a low-lying situation, where all the evil of the world will flow in upon him."""
lunyu__book-19-zizhang__021__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-19-zizhang,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,21,論語 19.21,子貢曰：「君子之過也，如日月之食焉。過也，人皆見之；更也，人皆仰之。」,Analects XXI.21,"Tsze-kung said, ""The faults of the superior man are like the eclipses of the sun and moon. He has his faults, and all men see them; he changes again, and all men look up to him."""
