alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text
laozi-chapter-001__align-001,laozi,laozi-chapter-001,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,1.0,1,老子 1.1 - 老子 1.2,道可道、非常道，,老子 1.1,The Dao that can be trodden is not the enduring and unchanging Dao.
laozi-chapter-001__align-002,laozi,laozi-chapter-001,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,1.0,3,老子 1.3 - 老子 1.4,名可名、非常名；,老子 1.2,The name that can be named is not the enduring and unchanging name.
laozi-chapter-001__align-003,laozi,laozi-chapter-001,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,5,老子 1.5,無名天地之始，,老子 1.3,"(Conceived of as) having no name, it is the Originator of heaven and earth;"
laozi-chapter-001__align-004,laozi,laozi-chapter-001,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,6,老子 1.6,有名萬物之母。,老子 1.4,"(conceived of as) having a name, it is the Mother of all things."
laozi-chapter-001__align-005,laozi,laozi-chapter-001,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,7,老子 1.7,故常無欲、,老子 1.5,"Always without desire we must be found,"
laozi-chapter-001__align-006,laozi,laozi-chapter-001,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,8,老子 1.8,以觀其妙，,老子 1.6,If its deep mystery we would sound;
laozi-chapter-001__align-007,laozi,laozi-chapter-001,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,9,老子 1.9,常有欲、,老子 1.7,"But if desire always within us be,"
laozi-chapter-001__align-008,laozi,laozi-chapter-001,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,10,老子 1.10,以觀其徼；,老子 1.8,Its outer fringe is all that we shall see.
laozi-chapter-001__align-009,laozi,laozi-chapter-001,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,11,老子 1.11,此兩者、,老子 1.9,"Under these two aspects, it is really the same;"
laozi-chapter-001__align-010,laozi,laozi-chapter-001,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,12,老子 1.12,同出而異名，,老子 1.10,"but as development takes place, it receives the different names."
laozi-chapter-001__align-011,laozi,laozi-chapter-001,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,1.0,13,老子 1.13,同謂之玄、,老子 1.11,Together we call them the Mystery.
laozi-chapter-001__align-012,laozi,laozi-chapter-001,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,1.0,14,老子 1.14 - 老子 1.15,玄之又玄、眾妙之門。,老子 1.12,Where the Mystery is the deepest is the gate of all that is subtle and wonderful.
