alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text
lunyu__book-06-yongye__001__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-06-yongye,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,1,論語 6.1,子曰：「雍也，可使南面。」仲弓問子桑伯子。子曰：「可也，簡。」仲弓曰：「居敬而行簡，以臨其民，不亦可乎？居簡而行簡，無乃大簡乎？」子曰：「雍之言然。」,Analects I.1,"The Master said, ""There is Yung!—He might occupy the place of a prince."" Chung-kung asked about Tsze-sang Po-tsze. The Master said, ""He may pass. He does not mind small matters."" Chung-kung said, ""If a man cherish in himself a reverential feeling of the necessity of attention to business, though he may be easy in small matters in his government of the people, that may be allowed. But if he cherish in himself that easy feeling, and also carry it out in his practice, is not such an easy mode of procedure excessive?"" The Master said, ""Yung's words are right."""
lunyu__book-06-yongye__002__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-06-yongye,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,2,論語 6.2,哀公問：「弟子孰爲好學？」孔子對曰：「有顏回者，好學；不遷怒，不貳過，不幸短命死矣！今也則亡，未聞好學者也。」,Analects II.2,"The Duke Ai asked which of the disciples loved to learn. Confucius replied to him, ""There was Yen Hui; he loved to learn. He did not transfer his anger; he did not repeat a fault. Unfortunately, his appointed time was short and he died; and now there is not such another. I have not yet heard of any one who loves to learn as he did."""
lunyu__book-06-yongye__003__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-06-yongye,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,3,論語 6.3,子華使於齊，冉子爲其母請粟。子曰：「與之釜。」請益，曰：「與之庾。」冉子與之粟五秉。子曰：「赤之適齊也，乘肥馬，衣輕裘；吾聞之也：君子周急不繼富。」原思爲之宰，與之粟九百，辭。子曰：「毋！以與爾鄰里鄉黨乎！」,Analects III.3,"Tsze-hwa being employed on a mission to Ch'i, the disciple Zan requested grain for his mother. The Master said, ""Give her a fu."" Yen requested more. ""Give her an yu,"" said the Master. Yen gave her five ping. The Master said, ""When Ch'ih was proceeding to Ch'i, he had fat horses to his carriage, and wore light furs. I have heard that a superior man helps the distressed, but does not add to the wealth of the rich."" Yuan Sze being made governor of his town by the Master, he gave him nine hundred measures of grain, but Sze declined them. The Master said, ""Do not decline them. May you not give them away in the neighborhoods, hamlets, towns, and villages?"""
lunyu__book-06-yongye__004__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-06-yongye,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,4,論語 6.4,子謂仲弓曰：「犁牛之子，騂且角；雖欲勿用，山川其舍諸？」,Analects IV.4,"The Master, speaking of Chung-kung, said, ""If the calf of a brindled cow be red and horned, although men may not wish to use it, would the spirits of the mountains and rivers put it aside?"""
lunyu__book-06-yongye__005__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-06-yongye,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,5,論語 6.5,子曰：「回也，其心三月不違仁。其餘，則日月至焉而已矣。」,Analects V.5,"The Master said, ""Such was Hui that for three months there would be nothing in his mind contrary to perfect virtue. The others may attain to this on some days or in some months, but nothing more."""
lunyu__book-06-yongye__006__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-06-yongye,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,6,論語 6.6,季康子問：「仲由可使從政也與？」子曰：「由也果，於從政乎何有！」曰：「賜也可使從政也與？」曰：「賜也達，於從政乎何有！」曰：「求也可使從政也與？」曰：「求也藝，於從政乎何有！」,Analects VI.6,"Chi K'ang asked about Chung-yu, whether he was fit to be employed as an officer of government. The Master said, ""Yu is a man of decision; what difficulty would he find in being an officer of government?"" K'ang asked, ""Is Ts'ze fit to be employed as an officer of government?"" and was answered, ""Ts'ze is a man of intelligence; what difficulty would he find in being an officer of government?"" And to the same question about Ch'iu the Master gave the same reply, saying, ""Ch'iu is a man of various ability."""
lunyu__book-06-yongye__007__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-06-yongye,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,7,論語 6.7,季氏使閔子騫爲費宰。閔子騫曰：「善爲我辭焉。如有復我者，則吾必在汶上矣。」,Analects VII.7,"The chief of the Chi family sent to ask Min Tsze-ch'ien to be governor of Pi. Min Tsze-ch'ien said, ""Decline the offer for me politely. If any one come again to me with a second invitation, I shall be obliged to go and live on the banks of the Wan."""
lunyu__book-06-yongye__008__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-06-yongye,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,8,論語 6.8,伯牛有疾，子問之，自牖執其手，曰：「亡之，命矣夫！斯人也，而有斯疾也！斯人也，而有斯疾也！」,Analects VIII.8,"Po-niu being ill, the Master went to ask for him. He took hold of his hand through the window, and said, ""It is killing him. It is the appointment of Heaven, alas! That such a man should have such a sickness! That such a man should have such a sickness!"""
lunyu__book-06-yongye__009__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-06-yongye,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,9,論語 6.9,子曰：「賢哉回也！一簞食，一瓢飮，在陋巷，人不堪其憂，回也不改其樂。賢哉回也！」,Analects IX.9,"The Master said, ""Admirable indeed was the virtue of Hui! With a single bamboo dish of rice, a single gourd dish of drink, and living in his mean narrow lane, while others could not have endured the distress, he did not allow his joy to be affected by it. Admirable indeed was the virtue of Hui!"""
lunyu__book-06-yongye__010__zhwikisource-20260529__legge-cc-v1-1893,lunyu,book-06-yongye,book,saying,saying,False,,1,1,exact_or_near_exact,0.99,10,論語 6.10,冉求曰：「非不說子之道，力不足也。」子曰：「力不足者，中道而廢；今女畫。」,Analects X.10,"Yen Ch'iu said, ""It is not that I do not delight in your doctrines, but my strength is insufficient."" The Master said, ""Those whose strength is insufficient give over in the middle of the way but now you limit yourself."""
