alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text
mozi-034-exposition-of-canon-ii__align-0001,mozi,mozi-034-exposition-of-canon-ii,chapter,sentence,grouped,False,,5,1,exact_or_near_exact,0.93,1,34.1 - 34.5,止：彼以此其然也，說是其然也；我以此其不然也，疑是其然也。謂四足獸，與生鳥與，物盡與，大小也。此然是必然，則俱。,34.1,"Motse said: At present, in governing ike states the rulers all desire to have their countries wealthy, their population large, and their administration orderly."
mozi-034-exposition-of-canon-ii__align-0002,mozi,mozi-034-exposition-of-canon-ii,chapter,sentence,grouped,False,,6,4,exact_or_near_exact,0.93,6,34.6 - 34.11,為麋同名。俱鬥，不俱二，二與鬥也。包、肝、肺、子，愛也。橘茅，食與招也。白馬多白，視馬不多視，白與視也。為麗不必麗，不必麗與暴也。,34.2 - 34.5,"But instead of wealth they obtain poverty, instead of an increase they obtain a decrease in population, instead of order they obtain chaos, i.e. they lose what they like but obtain what they dislike. What is the reason for this? Motse said; It is due to the large number of fatalists among the people."
mozi-034-exposition-of-canon-ii__align-0003,mozi,mozi-034-exposition-of-canon-ii,chapter,sentence,grouped,False,,6,1,exact_or_near_exact,0.93,12,34.12 - 34.17,為非以人是不為非，若為夫勇不為夫，為屨以買衣為屨，夫與屨也。二與一亡，不與一在，偏去未。有文實也，而後謂之；無文實也，則無謂也。不若敷與美。謂是，則是固美也；,34.6,"The fatalists say: When fate decrees that a man shall be wealthy he will be wealthy; when it decrees poverty, he will be poor; when it decrees a large population, this will be large; and when it decrees a small population this will be small; if order is decreed, there will be order; if chaos, there will be chaos."
mozi-034-exposition-of-canon-ii__align-0004,mozi,mozi-034-exposition-of-canon-ii,chapter,sentence,grouped,False,,4,1,exact_or_near_exact,0.93,18,34.18 - 34.21,謂也，則是非美；無謂，則報也。見不見離，一二不相盈，廣修堅白。舉不重不與箴，非力之任也。,34.7,"If fate decrees old age, there will be old age; if untimely death, there will be untimely death."
mozi-034-exposition-of-canon-ii__align-0005,mozi,mozi-034-exposition-of-canon-ii,chapter,sentence,grouped,False,,4,1,exact_or_near_exact,0.93,22,34.22 - 34.25,為握者之倍，非智之任也。若耳目異。木與夜孰長？智與粟孰多？,34.8,"Even if a man sets himself against his fate, what is the use?"
mozi-034-exposition-of-canon-ii__align-0006,mozi,mozi-034-exposition-of-canon-ii,chapter,sentence,grouped,False,,6,1,exact_or_near_exact,0.93,26,34.26 - 34.31,爵、親、行、賈，四者孰貴？麋與霍孰高？麋與霍孰霍？與瑟孰瑟？偏：俱一無變。,34.9,""" With this doctrine the rulers are urged above and the people are kept away from their work below."
mozi-034-exposition-of-canon-ii__align-0007,mozi,mozi-034-exposition-of-canon-ii,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,0.93,32,34.32 - 34.33,假：假必非也而後假。,34.10,Hence the fatalists are umnagnanimous.
mozi-034-exposition-of-canon-ii__align-0008,mozi,mozi-034-exposition-of-canon-ii,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,0.93,34,34.34 - 34.35,狗假霍也，猶氏霍也。物或傷之，然也；,34.11,And their doctrines must be clearly examined.
mozi-034-exposition-of-canon-ii__align-0009,mozi,mozi-034-exposition-of-canon-ii,chapter,sentence,grouped,False,,3,1,exact_or_near_exact,0.93,36,34.36 - 34.38,見之，智也；告之，使智也。疑逢，為務則士，為牛廬者夏寒，逢也。,34.12,"Now, how is this doctrine to be examined 1 Motse said: Some standard of judgment must be established."
mozi-034-exposition-of-canon-ii__align-0010,mozi,mozi-034-exposition-of-canon-ii,chapter,sentence,grouped,False,,6,1,exact_or_near_exact,0.93,39,34.39 - 34.44,舉之則輕，廢之則重，非有力也；沛從削，非巧也，若石羽，循也。鬥者之敝也以飲酒，若以日中，是不可智也，愚也。智與？以已為然也與？愚也。,34.13,"To expound a doctrine without regard to the standard is similar to determining the directions of sunrise and sunset on a revolving potter’s wheel By this means the distinction of right and wrong, benefit and harm, cannot be known."
