alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text,translation_text_raw,witness_repairs
mozi-024-will-of-heaven-iii__align-0001,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,5,4,exact_or_near_exact,0.93,1,24.1 - 24.5,子墨子言曰：天下之所以亂者，其說將何哉？則是天下士君子，皆明於小而不明於大。何以知其明於小不明於大也？以其不明於天之意也。,24.1 - 24.4,"Motse said: The magnanimous ruler takes care of the empire, in the same way as a filial son takes care of his parents. But how does the filial son take care of his parents? If the parents are poor he would enrich them; if the parents have few people (descendants) he would increase them; if the members (of the family) are in confusion he would put them in order. Of course, in doing this he might find his energy insufficient, his means limited, or his knowledge inadequate.","Motse said: The magnanimous ruler takes care of the empire, in the same way as a filial son takes care of his parents. But how does the filial son take care of his parents? If the parents are poor he would enrich them; if the parents have few people (descendants) he would increase them; if the members (of the family) are in confusion he would put them in order. Of course, in doing this he might find his energy insufficient, his means limited, or his knowledge inadequate.",[]
mozi-024-will-of-heaven-iii__align-0002,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,0.93,6,24.6 - 24.7,何以知其不明於天之意也？以處人之家者知之。,24.5,"But he dare not allow any energy, learning, or means unused to serve his parents.","But he dare not allow any energy, learning, or means unused to serve his parents.",[]
mozi-024-will-of-heaven-iii__align-0003,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,6,6,exact_or_near_exact,0.93,8,24.8 - 24.13,今人處若家得罪，將猶有異家所，以避逃之者。然且父以戒子，兄以戒弟，曰：「戒之！慎之！處人之家不戒不慎之，而有處人之國者乎？」今人處若國得罪，將猶有異國所，以避逃之者矣。,24.6 - 24.11,"Such are the three interests of the filial son in taking care of his parents. And the same is true of the magnanimous ruler in taking care of the empire: if the empire is poor he would enrich it; if the people are few he would increase them; if the multitude are in confusion he would put them in order. Of course in doing these he might find his energy insufficient, means limited, or knowledge inadequate, but he dare not allow any energy, learning, or means unused to serve the world. And such are the three interests of the magnanimous ruler in taking care of the empire. When the sage-kings of the Three Dynasties had passed away, and the world had become ignorant of their principles, some of the gentlemen in later generations regarded elaborate funeral and extended mourning as magnanimous, and righteous, and the duty of a filial son; while others held them to be not magnanimous, not righteous, and not the duty of the filial son. These two groups condemn each other in words and contradict each other in deed, and yet both claim to be followers of the way of Yao, Shun, Yii, T’ang, Wen, and Wu.","Such are the three interests of the filial son in taking care of his parents. And the same is true of the magnanimous ruler in taking care of the empire: if the empire is poor he would enrich it; if the people are few he would increase them; if the multitude are in confusion he would put them in order. Of course in doing these he might find his energy insufficient, means limited, or knowledge inadequate, but he dare not allow any energy, learning, or means unused to serve the world. And such are the three interests of the magnanimous ruler in taking care of the empire. When the sage-kings of the Three Dynasties had passed away, and the world had become ignorant of their principles, some of the gentlemen in later generations regarded elaborate funeral and extended mourning as magnanimous, and righteous, and the duty of a filial son; while others held them to be not magnanimous, not righteous, and not the duty of the filial son. These two groups condemn each other in words and contradict each other in deed, and yet both claim to be followers of the way of Yao, Shun, Yii, T’ang, Wen, and Wu.",[]
mozi-024-will-of-heaven-iii__align-0004,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,5,6,exact_or_near_exact,0.93,14,24.14 - 24.18,然且父以戒子，兄以戒弟，曰：「戒之！慎之！處人之國者，不可不戒慎也。」今人皆處天下而事天，得罪於天，將無所以避逃之者矣。,24.12 - 24.17,"But since they are disagreed in word and opposed in deed, people doubt the assertions of both. Now that the assertions of both are doubted, it will be well to turn to the government of the country and the people and see how elaborate funeral and extended mourning affect the three interests. In my opinion, if, in adopting the doctrine and practising the principle, elaborate funeral and extended mourning could enrich the poor, increase the few, remove danger, and regulate disorder, it would be magnanimous, righteous, and the duty of a filial son. Those who are to give counsel could not but encourage it. And the magnanimous (ruler) would seek to have it flourish in the empire and establish it so as to have the people praise it and never disregard it in their whole life. (On the other hand,) if, in adopting the doctrine and practising the principle, elaborate funeral and extended mourning really cannot enrich the poor, increase the few, remove danger, and regulate disorder, it will not be magnanimous, righteous, and the duty of the filial son.","But since they are disagreed in word and opposed in deed, people doubt the assertions of both. Now that the assertions of both are doubted, it will be well to turn to the government of the country and the people and see how elaborate funeral and extended mourning affect the three interests. In my opinion, if, in adopting the doctrine and practising the principle, elaborate funeral and extended mourning could enrich the poor, increase the few, remove danger, and regulate disorder, it would be magnanimous, righteous, and the duty of a filial son. Those who are to give counsel could not but encourage it. And the magnanimous (ruler) would seek to have it flourish in the empire and establish it so as to have the people praise it and never disregard it in their whole life. (On the other hand,) if, in adopting the doctrine and practising the principle, elaborate funeral and extended mourning really cannot enrich the poor, increase the few, remove danger, and regulate disorder, it will not be magnanimous, righteous, and the duty of the filial son.",[]
mozi-024-will-of-heaven-iii__align-0005,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,0.93,19,24.19 - 24.20,然而莫知以相極戒也。吾以此知大物則不知者也。,24.18,Those who are to give counsel cannot but discourage it.,Those who are to give counsel cannot but discourage it.,[]
mozi-024-will-of-heaven-iii__align-0006,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,6,2,exact_or_near_exact,0.93,21,24.21 - 24.26,是故子墨子言曰：戒之慎之，必為天之所欲，而去天之所惡。曰：天之所欲者何也？所惡者何也？天欲義而惡其不義者也。,24.19 - 24.20,"And the magnanimous will seek to have it abolished in the empire and abandon it so as to have the people condemn it, never to practise it in their whole life. It has never happened, from ancient times to the present day, that benefits are procured, calamities averted for the world, and disorder among the people of the country is regulated by elaborate funerals and extended mourning.","And the magnanimous will seek to have it abolished in the empire and abandon it so as to have the people condemn it, never to practise it in their whole life. It has never happened, from ancient times to the present day, that benefits are procured, calamities averted for the world, and disorder among the people of the country is regulated by elaborate funerals and extended mourning.",[]
mozi-024-will-of-heaven-iii__align-0007,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,0.93,27,24.27,何以知其然也？,24.21,How do we know?,How do we know?,[]
mozi-024-will-of-heaven-iii__align-0008,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,6,6,exact_or_near_exact,0.93,28,24.28 - 24.33,曰：義者，正也。何以知義之為正也？天下有義則治，無義則亂，我以此知義之為正也。然而正者，無自下正上者，必自上正下。是故庶人不得次己而為正，有士正之。,24.22 - 24.27,"For even at the present the gentlemen of the world are still doubtful whether elaborate funeral and extended mourning are right and beneficiaL Motse said: I have examined the sayings of those who uphold elaborate funeral and extended mourning. If they should be taken seriously in the country, it would mean: when a lord dies, there would be several inner and outer coffins. He would be buried deep. There would be many shrouds. Embroidery would be elaborate. The grave mound would be massive.","For even at the present the gentlemen of the world are still doubtful whether elaborate funeral and extended mourning are right and beneficiaL Motse said: I have examined the sayings of those who uphold elaborate funeral and extended mourning. If they should be taken seriously in the country, it would mean: when a lord dies, there would be several inner and outer coffins. He would be buried deep. There would be many shrouds. Embroidery would be elaborate. The grave mound would be massive.",[]
mozi-024-will-of-heaven-iii__align-0009,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,0.93,34,24.34 - 24.35,士不得次己而為正，有大夫正之。大夫不得次己而為正，有諸侯正之。,24.28,"So, then, the death of a common man would exhaust the wealth of a family.","So, then, the death of a common man would exhaust the wealth of a family.",[]
mozi-024-will-of-heaven-iii__align-0010,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,5,6,exact_or_near_exact,0.93,36,24.36 - 24.40,諸侯不得次己而為正，有三公正之。三公不得次己而為正，有天子正之。天子不得次己而為政，有天正之。今天下之士君子，皆明於天子之正天下也，而不明於天之正天子也。是故古者聖人明以此說人，曰：,24.29 - 24.34,"And the death of a feudal lord would empty the state treasury before his body would be surrounded with gold, jade, and pearls, and the grave filled with carts and horses and bundles of silk. Further, there should be plenty of canopies and hangings, tings, drums, tables, pots, and ice receptacles, spears, swords feather banners, and hides all to be carried along and buried. Not till then are the requirements considered fulfilled. And, regarding those who were to die to accompany their lord, for the emperor or a feudal lord there should be from several hundred to several tens, and for a mimster or secretary there should be from several tens to several. What are the rules to be observed by the mourner? He must weep without restraint and sound as if he is choking.","And the death of a feudal lord would empty the state treasury before his body would be surrounded with gold, jade, and pearls, and the grave filled with carts and horses and bundles of silk. Further, there should be plenty of canopies and hangings, tings, drums, tables, pots, and ice receptacles, spears, swords feather banners, and hides all to be carried along and buried. Not till then are the requirements considered fulfilled. And, regarding those who were to die to accompany their lord, for the emperor or a feudal lord there should be from several hundred to several tens, and for a mimster or secretary there should be from several tens to several. What are the rules to be observed by the mourner? He must weep without restraint and sound as if he is choking.",[]
mozi-024-will-of-heaven-iii__align-0011,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,4,6,exact_or_near_exact,0.93,41,24.41 - 24.44,「天子有善，天能賞之。天子有過，天能罰之。」天子賞罰不當，聽獄不中，天下疾病禍福，霜露不時。天子必且犓豢其牛羊犬彘，絜為粢盛酒醴，以禱祠祈福於天，我未嘗聞天之禱祈福於天子也。,24.35 - 24.40,"Sackcloth is worn on the breast and hat of flax on the head. His tears and snivel are not to be wiped away. The mourner is to live in a mourning hut, sleep on a coarse mat of straw, and lay Ms head on a lump of earth. Then he would be obliged to abstain from food in order to look hungry and to wear little in order to look cold. The face and eyes are to look sunken and as if in fear, and the complexion is to appear dark. Ears and eyes are to become dull, and hands and feet to become weak and unusable.","Sackcloth is worn on the breast and hat of flax on the head. His tears and snivel are not to be wiped away. The mourner is to live in a mourning hut, sleep on a coarse mat of straw, and lay Ms head on a lump of earth. Then he would be obliged to abstain from food in order to look hungry and to wear little in order to look cold. The face and eyes are to look sunken and as if in fear, and the complexion is to appear dark. Ears and eyes are to become dull, and hands and feet to become weak and unusable.",[]
mozi-024-will-of-heaven-iii__align-0012,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,3,1,exact_or_near_exact,0.93,45,24.45 - 24.47,吾以此知天之重且貴於天子也。是故義者不自愚且賤者出，必自貴且知者出。曰：,24.41,"And, also, if the mourner is a high official, he has to be supported to rise, and lean on a cane to walk.","And, also, if the mourner is a high official, he has to be supported to rise, and lean on a cane to walk.",[]
mozi-024-will-of-heaven-iii__align-0013,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,3,1,exact_or_near_exact,0.93,48,24.48 - 24.50,誰為知？天為知。然則義果自天出也。,24.42,And all this is to last three years.,And all this is to last three years.,[]
mozi-024-will-of-heaven-iii__align-0014,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,5,5,exact_or_near_exact,0.93,51,24.51 - 24.55,今天下之士君子之欲為義者，則不可不順天之意矣。曰：順天之意何若？曰：兼愛天下之人。,24.43 - 24.47,"Adopting such a doctrine and practising such a principle: rulers cannot come to court early (and retire late; the officials cannot attend to the) five offices and six posts and encourage farming and forestry and fill the granaries; the farmers cannot start out early and come in late to cultivate the land and plant trees; the artisans cannot build boats and vehicles and make vessels and utensils; and the women cannot rise early and retire late to weave and spin. So, then, in elaborate funerals much wealth is buried, and in extended mourning abstention from work is prolonged. Wealth ahcady produced is carried away into the grave. Child-bearing is postponed. To seek wealth in this way is like seeking a harvest by prohibiting farming.","Adopting such a doctrine and practising such a principle: rulers cannot come to court early (and retire late; the officials cannot attend to the) five offices and six posts and encourage farming and forestry and fill the granaries; the farmers cannot start out early and come in late to cultivate the land and plant trees; the artisans cannot build boats and vehicles and make vessels and utensils; and the women cannot rise early and retire late to weave and spin. So, then, in elaborate funerals much wealth is buried, and in extended mourning abstention from work is prolonged. Wealth ahcady produced is carried away into the grave. Child-bearing is postponed. To seek wealth in this way is like seeking a harvest by prohibiting farming.",[]
mozi-024-will-of-heaven-iii__align-0015,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,0.93,56,24.56 - 24.57,何以知兼愛天下之人也？以兼而食之也。,24.48,The way to wealth then is not here found.,The way to wealth then is not here found.,[]
mozi-024-will-of-heaven-iii__align-0016,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,4,6,exact_or_near_exact,0.93,58,24.58 - 24.61,何以知其兼而食之也？自古及今，無有遠靈孤夷之國，皆犓豢其牛羊犬彘，絜為粢盛酒醴，以敬祭祀上帝、山川、鬼神，以此知兼而食之也。苟兼而食焉，必兼而愛之。譬之若楚、越之君：,24.49 - 24.54,"Now that the practice of elaborate funerals and extended mourning has failed to enrich the country perhaps it can yet increase the population? Again it is powerless. For if elaborate funeral and extended mourning are adopted as the rule, then upon the death of the emperor there will be three years' mourning, upon the death of a parent there will be three years’ mourning, upon the death of the wife or the eldest son there will be three years’ mourning. There will be three years’ mourning for all five (relations). Besides, there will be one year for uncles, brothers, and the other sons; and five months for the near relatives, and also several months for aunts, sisters, nephews, and uncles on the mother’s side. Pui‘the.r, there are set rules to emaciate one’s health: the face and eyes are to look sunken and as if in fear, and the complexion is to appear dark.","Now that the practice of elaborate funerals and extended mourning has failed to enrich the country perhaps it can yet increase the population? Again it is powerless. For if elaborate funeral and extended mourning are adopted as the rule, then upon the death of the emperor there will be three years' mourning, upon the death of a parent there will be three years’ mourning, upon the death of the wife or the eldest son there will be three years’ mourning. There will be three years’ mourning for all five (relations). Besides, there will be one year for uncles, brothers, and the other sons; and five months for the near relatives, and also several months for aunts, sisters, nephews, and uncles on the mother’s side. Pui‘the.r, there are set rules to emaciate one’s health: the face and eyes are to look sunken and as if in fear, and the complexion is to appear dark.",[]
mozi-024-will-of-heaven-iii__align-0017,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,2,1,exact_or_near_exact,0.93,62,24.62 - 24.63,今是楚王食於楚之四境之內，故愛楚之人；越王食於越，故愛越之人。,24.55,"Ears and eyes are to become dull, and hands and feet are to become weak and unusable.","Ears and eyes are to become dull, and hands and feet are to become weak and unusable.",[]
mozi-024-will-of-heaven-iii__align-0018,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,4,3,exact_or_near_exact,0.93,64,24.64 - 24.67,今天兼天下而食焉，我以此知其兼愛天下之人也。且天之愛百姓也，不盡物而止矣。今天下之國，粒食之民，殺一不辜者，必有一不祥。曰：,24.56 - 24.58,"And, also, if the mourner is a high official, he has to be supported to rise and lean on a cane to walk. And this is to last three years if such a doctrine is adopted and such a principle is practised. Being so hungry and weak, the people cannot stand the cold in winter and the heat in summer.","And, also, if the mourner is a high official, he has to be supported to rise and lean on a cane to walk. And this is to last three years if such a doctrine is adopted and such a principle is practised. Being so hungry and weak, the people cannot stand the cold in winter and the heat in summer.",[]
mozi-024-will-of-heaven-iii__align-0019,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,6,1,exact_or_near_exact,0.93,68,24.68 - 24.73,「誰殺不辜？」曰：「人也。」「孰予之不辜？」曰：「天也。,24.59,And countless numbers will become sick and die.,And countless numbers will become sick and die.,[]
mozi-024-will-of-heaven-iii__align-0020,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,2,5,exact_or_near_exact,0.93,74,24.74 - 24.75,」若天之中實不愛此民也，何故而人有殺不辜而天予之不祥哉？且天之愛百姓厚矣，天之愛百姓別矣，既可得而知也。,24.60 - 24.64,"Sexual relations between husband and wife are prevented. To seek to increase the population by this way is like seeking longevity by thrusting one’s self upon a sword. The way to dense population is not here found. Now that it has failed to increase the population, perhaps it can yet regulate jurisdiction? Again it is powerless.","Sexual relations between husband and wife are prevented. To seek to increase the population by this way is like seeking longevity by thrusting one’s self upon a sword. The way to dense population is not here found. Now that it has failed to increase the population, perhaps it can yet regulate jurisdiction? Again it is powerless.",[]
mozi-024-will-of-heaven-iii__align-0021,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,4,1,exact_or_near_exact,0.93,76,24.76 - 24.79,何以知天之愛百姓也？吾以賢者之必賞善罰暴也。何以知賢者之必賞善罰暴也？吾以昔者三代之聖王知之。,24.65,"For, adopting elaborate funerals and extended mourning as a principle in government, the state will become poor, the people few, and the jurisdiction disorderly.","For, adopting elaborate funerals and extended mourning as a principle in government, the state will become poor, the people few, and the jurisdiction disorderly.",[]
mozi-024-will-of-heaven-iii__align-0022,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,1,6,exact_or_near_exact,0.93,80,24.80,故昔也三代之聖王堯、舜、禹、湯、文、武之兼愛之天下也，從而利之，移其百姓之意，焉率以敬上帝、山川、鬼神。,24.66 - 24.71,"Adopting such a doctrine and practising such a principle superiors cannot give attention to administration and subordinates cannot attend to their work. When the superiors are unable to give their attention to administration there will be disorder. When the subordinates are unable to attend to their work, the supply of food and clothing will be insufficient. ’Wbeii there is insufficiency, the undutiful younger brother will ask his older brother for help, and when he does not receive it he will hate the elder brother. The unfilial son will turn to his father for help and when he does not receive it he will spurn his father. And the disloyal minister will turn for help to his lord and when he does not receive it. he will mock his lord.","Adopting such a doctrine and practising such a principle superiors cannot give attention to administration and subordinates cannot attend to their work. When the superiors are unable to give their attention to administration there will be disorder. When the subordinates are unable to attend to their work, the supply of food and clothing will be insufficient. ’Wbeii there is insufficiency, the undutiful younger brother will ask his older brother for help, and when he does not receive it he will hate the elder brother. The unfilial son will turn to his father for help and when he does not receive it he will spurn his father. And the disloyal minister will turn for help to his lord and when he does not receive it. he will mock his lord.",[]
mozi-024-will-of-heaven-iii__align-0023,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,3,6,exact_or_near_exact,0.93,81,24.81 - 24.83,天以為從其所愛而愛之，從其所利而利之，於是加其賞焉，使之處上位，立為天子以法也，名之曰聖人。以此知其賞善之證。是故昔也三代之暴王桀、紂、幽、厲之兼惡天下也，從而賊之，移其百姓之意，焉率以詬侮上帝、山川、鬼神。,24.72 - 24.77,"And vicious and immoral people will commit evil and immorality beyond control when they are without clothing abroad and without food at home. So, bandits and thieves will be numerous but law-abiding people few. Now, to seek order by multiplying the bandits and thieves and diminishing the law-abiding people is like demanding of a person not to present his back to you after making him turn around three times. The way to order is not here found. Now that it has failed to regulate jurisdiction and government, perhaps it can yet prevent the large states from attacking the small states? Again it is powerless.","And vicious and immoral people will commit evil and immorality beyond control when they are without clothing abroad and without food at home. So, bandits and thieves will be numerous but law-abiding people few. Now, to seek order by multiplying the bandits and thieves and diminishing the law-abiding people is like demanding of a person not to present his back to you after making him turn around three times. The way to order is not here found. Now that it has failed to regulate jurisdiction and government, perhaps it can yet prevent the large states from attacking the small states? Again it is powerless.",[]
mozi-024-will-of-heaven-iii__align-0024,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,3,6,exact_or_near_exact,0.93,84,24.84 - 24.86,天以為不從其所愛而惡之，不從其所利而賊之，於是加其罰焉，使之父子離散，國家滅亡，抎失社稷，憂以及其身。是以天下之庶民屬而毀之，業萬世子孫繼嗣，毀之賁不之廢也，名之曰失王。以此知其罰暴之證。,24.78 - 24.83,"For since the ancient sage-kings have passed away and the world has become ignorant of their principles, the feudal lords resort to attack by force. On the south there are the kings of Oh’u and Yiieh, and on the north there are the lords of Ch’i and Chin. All of these show favours and encouragement to their warriors and soldiers, making it their business in the world to attack and absorb (others). Some small states, however, they do not attack, and this because these small states are well stored with supplies, their inner and outer city walls are in repair, and in them the superior and the subordinates are barmonious. Therefore the large states would not want to attack them. Those which are not well stored with supplies, whose inner and outer city walls are not in repair, and in which the superior and the subordinates are not harmonious, the large states would want to attack.","For since the ancient sage-kings have passed away and the world has become ignorant of their principles, the feudal lords resort to attack by force. On the south there are the kings of Oh’u and Yiieh, and on the north there are the lords of Ch’i and Chin. All of these show favours and encouragement to their warriors and soldiers, making it their business in the world to attack and absorb (others). Some small states, however, they do not attack, and this because these small states are well stored with supplies, their inner and outer city walls are in repair, and in them the superior and the subordinates are barmonious. Therefore the large states would not want to attack them. Those which are not well stored with supplies, whose inner and outer city walls are not in repair, and in which the superior and the subordinates are not harmonious, the large states would want to attack.",[]
mozi-024-will-of-heaven-iii__align-0025,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,4,1,exact_or_near_exact,0.93,87,24.87 - 24.90,今天下之士君子欲為義者，則不可不順天之意矣。曰：順天之意者，兼也。反天之意者，別也。,24.84,"Adopting elaborate funerals and extended mourning in government, the state will become poor, the people few, and jurisdic-tion disorderly.","Adopting elaborate funerals and extended mourning in government, the state will become poor, the people few, and jurisdic-tion disorderly.",[]
mozi-024-will-of-heaven-iii__align-0026,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,6,6,exact_or_near_exact,0.93,91,24.91 - 24.96,兼之為道也，義正。別之為道也，力正。曰：義正者何若？曰：大不攻小也，強不侮弱也，眾不賊寡也，詐不欺愚也，貴不傲賤也，富不驕貧也，壯不奪老也。,24.85 - 24.90,"Since the state is poor, no surplus goods can be stored. Since its numbers are few, there will be few workmen to keep the city walls and moats in repair. Since it is disorderly, a state will not be victorious in attack or strong in defence. Now that it has failed in preventing the large states from attacking the small states, perhaps it can yet procure blessing from God and the spirits. Again it is powerless. For, adopting elaborate funeral and extended mourning as a principle in government, the state will become poor, the people few, and the jurisdiction disorderly.","Since the state is poor, no surplus goods can be stored. Since its numbers are few, there will be few workmen to keep the city walls and moats in repair. Since it is disorderly, a state will not be victorious in attack or strong in defence. Now that it has failed in preventing the large states from attacking the small states, perhaps it can yet procure blessing from God and the spirits. Again it is powerless. For, adopting elaborate funeral and extended mourning as a principle in government, the state will become poor, the people few, and the jurisdiction disorderly.",[]
mozi-024-will-of-heaven-iii__align-0027,mozi,mozi-024-will-of-heaven-iii,chapter,sentence,grouped,False,,4,5,exact_or_near_exact,0.93,97,24.97 - 24.100,是以天下之庶國，莫以水火、毒藥、兵刃以相害也。若事上利天，中利鬼，下利人，三利而無所不利，是謂天德。故凡從事此者，聖知也，仁義也，忠惠也，慈孝也，是故聚斂天下之善名而加之。是其故何也？,24.91 - 24.95,"When the state is poor the cakes and wine will be unclean. When the people are few the worshippers of God and the spirits will be reduced in number. And when jurisdiction is in disorder the sacrifice will not be made according to season. Moreover, the worship of God and the spirits is now even prohibited. When the government is run like this, God and the spirits would deliberate from on high, saying: Which is better, to have these people exist or not to have them exist?","When the state is poor the cakes and wine will be unclean. When the people are few the worshippers of God and the spirits will be reduced in number. And when jurisdiction is in disorder the sacrifice will not be made according to season. Moreover, the worship of God and the spirits is now even prohibited. When the government is run like this, God and the spirits would deliberate from on high, saying: Which is better, to have these people exist or not to have them exist?",[]
