alignment_id,section_id,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text
lunyu__book-03-bayi__001__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,1,論語 3.1,孔子謂季氏：「八佾舞於庭。是可忍也，孰不可忍也！」,Analects I.1,"Confucius said of the head of the Chi family, who had eight rows of pantomimes in his area, ""If he can bear to do this, what may he not bear to do?"""
lunyu__book-03-bayi__002__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,2,論語 3.2,三家者，以雍徹。子曰：「『相維辟公，天子穆穆。』奚取於三家之堂？」,Analects II.2,"The three families used the yung ode, while the vessels were being removed, at the conclusion of the sacrifice. The Master said, ""'Assisting are the princes;—the son of heaven looks profound and grave:'—what application can these words have in the hall of the three families?"""
lunyu__book-03-bayi__003__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,3,論語 3.3,子曰：「人而不仁，如禮何？人而不仁，如樂何？」,Analects III.3,"The Master said, ""If a man be without the virtues proper to humanity, what has he to do with the rites of propriety? If a man be without the virtues proper to humanity, what has he to do with music?"""
lunyu__book-03-bayi__004__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,4,論語 3.4,林放問禮之本。子曰：「大哉問！禮，與其奢也，寧儉；喪，與其易也，寧戚。」,Analects IV.4,"Lin Fang asked what was the first thing to be attended to in ceremonies. The Master said, ""A great question indeed! ""In festive ceremonies, it is better to be sparing than extravagant. In the ceremonies of mourning, it is better that there be deep sorrow than a minute attention to observances."""
lunyu__book-03-bayi__005__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,5,論語 3.5,子曰：「夷狄之有君，不如諸夏之亡也。」,Analects V.5,"The Master said, ""The rude tribes of the east and north have their princes, and are not like the States of our great land which are without them."""
lunyu__book-03-bayi__006__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,6,論語 3.6,季氏旅於泰山。子謂冉有曰：「女弗能救與？」對曰：「不能。」子曰：「嗚呼！曾謂泰山不如林放乎？」,Analects VI.6,"The chief of the Chi family was about to sacrifice to the T'ai mountain. The Master said to Zan Yu, ""Can you not save him from this?"" He answered, ""I cannot."" Confucius said, ""Alas! will you say that the T'ai mountain is not so discerning as Lin Fang?"""
lunyu__book-03-bayi__007__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,7,論語 3.7,子曰：「君子無所爭，必也射乎！揖讓而升，下而飮，其爭也君子。」,Analects VII.7,"The Master said, ""The student of virtue has no contentions. If it be said he cannot avoid them, shall this be in archery? But he bows complaisantly to his competitors; thus he ascends the hall, descends, and exacts the forfeit of drinking. In his contention, he is still the Chun-tsze."""
lunyu__book-03-bayi__008__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,8,論語 3.8,子夏問曰：「『巧笑倩兮，美目盼兮，素以爲絢兮。』何謂也？」子曰：「繪事後素。」曰：「禮後乎？」子曰：「起予者商也，始可與言《詩》已矣。」,Analects VIII.8,"Tsze-hsia asked, saying, ""What is the meaning of the passage—'The pretty dimples of her artful smile! The well-defined black and white of her eye! The plain ground for the colours?'"" The Master said, ""The business of laying on the colours follows (the preparation of) the plain ground."" ""Ceremonies then are a subsequent thing?"" The Master said, ""It is Shang who can bring out my meaning. Now I can begin to talk about the odes with him."""
lunyu__book-03-bayi__009__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,9,論語 3.9,子曰：「夏禮，吾能言之，杞不足徵也；殷禮，吾能言之，宋不足徵也。文獻不足故也，足，則吾能徵之矣。」,Analects IX.9,"The Master said, ""I could describe the ceremonies of the Hsia dynasty, but Chi cannot sufficiently attest my words. I could describe the ceremonies of the Yin dynasty, but Sung cannot sufficiently attest my words. (They cannot do so) because of the insufficiency of their records and wise men. If those were sufficient, I could adduce them in support of my words."""
lunyu__book-03-bayi__010__zhwikisource-20260529__legge-cc-v1-1893,book-03-bayi,exact_or_near_exact,0.99,10,論語 3.10,子曰：「禘自既灌而往者，吾不欲觀之矣。」,Analects X.10,"The Master said, ""At the great sacrifice, after the pouring out of the libation, I have no wish to look on."""
