alignment_id,work_id,section_id,section_unit,segment_type,alignment_granularity,is_coarse_alignment,coarse_alignment_reason,source_segment_count,target_segment_count,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text,translation_text_raw,witness_repairs
mozi-015-universal-love-ii__align-0001,mozi,mozi-015-universal-love-ii,chapter,sentence,grouped,False,,4,2,exact_or_near_exact,0.93,1,15.1 - 15.4,子墨子言曰：仁人之所以爲事者，必興天下之利，除去天下之害，以此爲事者也。然則天下之利何也？天下之害何也？,15.1 - 15.2,Motse said: The purpose of the magnanimous is to be found in procuring benefits for the world and eliminating its calamities. But what are the benefits of the world and w’hat its calamities?,Motse said: The purpose of the magnanimous is to be found in procuring benefits for the world and eliminating its calamities. But what are the benefits of the world and w’hat its calamities?,[]
mozi-015-universal-love-ii__align-0002,mozi,mozi-015-universal-love-ii,chapter,sentence,grouped,False,,2,6,exact_or_near_exact,0.93,5,15.5 - 15.6,子墨子言曰：今若國之與國之相攻，家之與家之相篡，人之與人之相賊，君臣不惠忠，父子不慈孝，兄弟不和調，此則天下之害也。,15.3 - 15.8,"Motse said: Mutual attacks among states, mutual usurpa-tion among houses, mutual injuries among individuals.; the lack of grace and loyalty between ruler and ruled, the lack of affection and filial piety between father and son, the lack of harmony between elder and younger brothers — these are the major calamities in the world. But whence did these calamities arise, out of mutual love? Motse said: They arise out of want of mutual love. At present feudal lords have learned only to love their own states and not those of others. Therefore they do not scruple about attacking other states. The heads of houses have learned only to love their own houses and not those of others.","Motse said: Mutual attacks among states, mutual usurpa-tion among houses, mutual injuries among individuals.; the lack of grace and loyalty between ruler and ruled, the lack of affection and filial piety between father and son, the lack of harmony between elder and younger brothers — these are the major calamities in the world. But whence did these calamities arise, out of mutual love? Motse said: They arise out of want of mutual love. At present feudal lords have learned only to love their own states and not those of others. Therefore they do not scruple about attacking other states. The heads of houses have learned only to love their own houses and not those of others.",[]
mozi-015-universal-love-ii__align-0003,mozi,mozi-015-universal-love-ii,chapter,sentence,grouped,False,,4,3,exact_or_near_exact,0.93,7,15.7 - 15.10,然則察此害亦何用生哉？以不相愛生邪？子墨子言：以不相愛生。,15.9 - 15.11,Therefore they do not scruple about usurping other houses. And individuals have learned only to love themselves and not others. Therefore they do not scruple about injuring others.,Therefore they do not scruple about usurping other houses. And individuals have learned only to love themselves and not others. Therefore they do not scruple about injuring others.,[]
mozi-015-universal-love-ii__align-0004,mozi,mozi-015-universal-love-ii,chapter,sentence,grouped,False,,2,6,exact_or_near_exact,0.93,11,15.11 - 15.12,今諸侯獨知愛其國，不愛人之國，是以不憚舉其國，以攻人之國。今家主獨知愛其家，而不愛人之家，是以不憚舉其家，以篡人之家，今人獨知愛其身，不愛人之身，是以不憚舉其身，以賊人之身。,15.12 - 15.17,"When feudal lords do not love one another there will be war on the fields. When heads of houses do not love one another they will usurp one another’s power. When individuals do not love one another they will injure one another. When ruler and ruled do not love one another they will not be gracious and loyal. When father and son do not love each other they will not be affectionate and filial When elder and younger brothers do not love each other they will not be harmonious. When nobody in the world loves any other, naturally the strong will overpower the weak, the many will oppress the few, the wealthy will mock the poor, the honoured will disdain the humble, the cunning will deceive the simple.","When feudal lords do not love one another there will be war on the fields. When heads of houses do not love one another they will usurp one another’s power. When individuals do not love one another they will injure one another. When ruler and ruled do not love one another they will not be gracious and loyal. When father and son do not love each other they will not be affectionate and filial When elder and younger brothers do not love each other they will not be harmonious. When nobody in the world loves any other, naturally the strong will overpower the weak, the many will oppress the few, the wealthy will mock the poor, the honoured will disdain the humble, the cunning will deceive the simple.",[]
mozi-015-universal-love-ii__align-0005,mozi,mozi-015-universal-love-ii,chapter,sentence,grouped,False,,4,2,exact_or_near_exact,0.93,13,15.13 - 15.16,是故諸侯不相愛，則必野戰。家主不相愛，則必相篡。人與人不相愛，則必相賊。君臣不相愛，則不惠忠。,15.18 - 15.19,"Therefore all the calamities, strifes, complaints, and hatred in the world have arisen out of want of mutual love. Therefore the benevolent disapproved of this want.","Therefore all the calamities, strifes, complaints, and hatred in the world have arisen out of want of mutual love. Therefore the benevolent disapproved of this want.",[]
mozi-015-universal-love-ii__align-0006,mozi,mozi-015-universal-love-ii,chapter,sentence,grouped,False,,5,6,exact_or_near_exact,0.93,17,15.17 - 15.21,父子不相愛，則不慈孝。兄弟不相愛，則不和調。天下之人皆不相愛，強必執弱，富必侮貧，貴必敖賤，詐必欺愚。凡天下禍篡怨恨，其所以起者，以不相愛生也。是以仁者非之。,15.20 - 15.25,"Wow that there is disapproval, how can have the condition altered? Motse said it is to be altered by the way of universal love and mutual aid. But what is the way of universal love and mutual aid? Motse said: It is to regard the state of others as one’s own, the houses of others as one’s own, the persons of others as one’s self. When feudal lords love one another there will be no more war; when heads of houses love one another there will be no more mutual usurpation; when individuals love on-afibther there will be no more mutual injury. When ruler and ruled love each other they will be gracious and loyal; when father and son love each other they will be affectionate and filial; when elder and younger brothers love each other they will be harmonious.","Wow that there is disapproval, how can have the condition altered? Motse said it is to be altered by the way of universal love and mutual aid. But what is the way of universal love and mutual aid? Motse said: It is to regard the state of others as one’s own, the houses of others as one’s own, the persons of others as one’s self. When feudal lords love one another there will be no more war; when heads of houses love one another there will be no more mutual usurpation; when individuals love on-afibther there will be no more mutual injury. When ruler and ruled love each other they will be gracious and loyal; when father and son love each other they will be affectionate and filial; when elder and younger brothers love each other they will be harmonious.",[]
mozi-015-universal-love-ii__align-0007,mozi,mozi-015-universal-love-ii,chapter,sentence,grouped,False,,6,1,exact_or_near_exact,0.93,22,15.22 - 15.27,旣以非之，何以易之？子墨子言曰：以兼相愛、交相利之法易之。然則兼相愛、交相利之法將奈何哉？子墨子言：視人之國，若視其國。,15.26,"When all the people in the world love one another, then the strong will not overpower the weak, the many will not oppress the few, the wealthy will not mock the poor, the honoured will not disdain the humble, and the cunning will not deceive the simple.","When all the people in the world love one another, then the strong will not overpower the weak, the many will not oppress the few, the wealthy will not mock the poor, the honoured will not disdain the humble, and the cunning will not deceive the simple.",[]
mozi-015-universal-love-ii__align-0008,mozi,mozi-015-universal-love-ii,chapter,sentence,grouped,False,,4,1,exact_or_near_exact,0.93,28,15.28 - 15.31,視人之家，若視其家。視人之身，若視其身。是故諸侯相愛，則不野戰。家主相愛，則不相篡。,15.27,"And it is all due to mutual love that calamities, strifes, complaints, and hatred are prevented from arising.","And it is all due to mutual love that calamities, strifes, complaints, and hatred are prevented from arising.",[]
mozi-015-universal-love-ii__align-0009,mozi,mozi-015-universal-love-ii,chapter,sentence,grouped,False,,1,1,exact_or_near_exact,0.93,32,15.32,人與人相愛，則不相賊。,15.28,Therefore the benevolent exalt it.,Therefore the benevolent exalt it.,[]
mozi-015-universal-love-ii__align-0010,mozi,mozi-015-universal-love-ii,chapter,sentence,grouped,False,,5,4,exact_or_near_exact,0.93,33,15.33 - 15.37,君臣相愛，則惠忠。父子相愛，則慈孝。兄弟相愛，則和調。天下之人皆相愛，強不執弱，衆不劫寡，富不侮貧，貴不敖賤，詐不欺愚。凡天下禍篡怨恨，可使毋起者，以相愛生也。,15.29 - 15.32,"Bnt the gentlemen of the world would say: So far so good. It is of course very excellent when love becomes universal. But it is only a difficult and distant ideal."" Motse said: This is simply because the gentlemen of the world do not recognize what is to the benefit of the world, or understand what is its calamity. Now, to besiege a city, to fight in the fields, or to achieve a name at the cost of death — these are what men find difficult.","Bnt the gentlemen of the world would say: So far so good. It is of course very excellent when love becomes universal. But it is only a difficult and distant ideal."" Motse said: This is simply because the gentlemen of the world do not recognize what is to the benefit of the world, or understand what is its calamity. Now, to besiege a city, to fight in the fields, or to achieve a name at the cost of death — these are what men find difficult.",[]
