alignment_id,section_id,alignment_type,confidence,order,chinese_ref,chinese_text,translation_ref,translation_text
lunyu__book-05-gongyechang__001__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,1,論語 5.1,子謂公冶長，「可妻也；雖在縲絏之中，非其罪也。」以其子妻之。,Analects I.1,"The Master said of Kung-ye Ch'ang that he might be wived; although he was put in bonds, he had not been guilty of any crime. Accordingly, he gave him his own daughter to wife."
lunyu__book-05-gongyechang__002__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,2,論語 5.2,子謂南容，「邦有道，不廢；邦無道，免於刑戮。」以其兄之子妻之。,Analects I.2,"Of Nan Yung he said that if the country were well governed he would not be out of office, and if it were ill-governed, he would escape punishment and disgrace. He gave him the daughter of his own elder brother to wife."
lunyu__book-05-gongyechang__003__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,3,論語 5.3,子謂子賤：「君子哉若人！魯無君子者，斯焉取斯？」,Analects II.3,"The Master said of Tsze-chien, ""Of superior virtue indeed is such a man! If there were not virtuous men in Lu, how could this man have acquired this character?"""
lunyu__book-05-gongyechang__004__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,4,論語 5.4,子貢問曰：「賜也何如？」子曰：「女器也」。曰：「何器也？」曰：「瑚璉也。」,Analects III.4,"Tsze-kung asked, ""What do you say of me, Ts'ze? The Master said, ""You are a utensil."" ""What utensil?"" ""A gemmed sacrificial utensil."""
lunyu__book-05-gongyechang__005__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,5,論語 5.5,或曰：「雍也，仁而不佞。」子曰：「焉用佞？禦人以口給，屢憎於人。不知其仁；焉用佞？」,Analects IV.5,"Some one said, ""Yung is truly virtuous, but he is not ready with his tongue."" The Master said, ""What is the good of being ready with the tongue? They who encounter men with smartnesses of speech for the most part procure themselves hatred. I know not whether he be truly virtuous, but why should he show readiness of the tongue?"""
lunyu__book-05-gongyechang__006__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,6,論語 5.6,子使漆雕開仕。對曰：「吾斯之未能信。」子說。,Analects V.6,"The Master was wishing Ch'i-tiao K'ai to enter on official employment. He replied, ""I am not yet able to rest in the assurance of THIS."" The Master was pleased."
lunyu__book-05-gongyechang__007__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,7,論語 5.7,子曰：「道不行，乘桴浮於海，從我者，其由與？」子路聞之喜。子曰：「由也，好勇過我，無所取材。」,Analects VI.7,"The Master said, ""My doctrines make no way. I will get upon a raft, and float about on the sea. He that will accompany me will be Yu, I dare say."" Tsze-lu hearing this was glad, upon which the Master said, ""Yu is fonder of daring than I am. He does not exercise his judgment upon matters."""
lunyu__book-05-gongyechang__008__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,8,論語 5.8,孟武伯問：「子路仁乎？」子曰：「不知也。」又問，子曰：「由也，千乘之國，可使治其賦也；不知其仁也。」「求也何如？」子曰：「求也，千室之邑，百乘之家，可使爲之宰也；不知其仁也。」「赤也何如？」子曰：「赤也，束帶立於朝，可使與賓客言也；不知其仁也。」,Analects VII.8,"Mang Wu asked about Tsze-lu, whether he was perfectly virtuous. The Master said, ""I do not know."" He asked again, when the Master replied, ""In a kingdom of a thousand chariots, Yu might be employed to manage the military levies, but I do not know whether he be perfectly virtuous."" ""And what do you say of Ch'iu?"" The Master replied, ""In a city of a thousand families, or a clan of a hundred chariots, Ch'iu might be employed as governor, but I do not know whether he is perfectly virtuous."" ""What do you say of Ch'ih?"" The Master replied, ""With his sash girt and standing in a court, Ch'ih might be employed to converse with the visitors and guests, but I do not know whether he is perfectly virtuous."""
lunyu__book-05-gongyechang__009__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,9,論語 5.9,子謂子貢曰：「女與回也孰愈？」對曰：「賜也何敢望回！回也聞一以知十，賜也聞一以知二。」子曰：「弗如也。吾與女，弗如也。」,Analects VIII.9,"The Master said to Tsze-kung, ""Which do you consider superior, yourself or Hui?"" Tsze-kung replied, ""How dare I compare myself with Hui? Hui hears one point and knows all about a subject; I hear one point, and know a second."" The Master said, ""You are not equal to him. I grant you, you are not equal to him."""
lunyu__book-05-gongyechang__010__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,10,論語 5.10,宰予晝寢。子曰：「朽木不可雕也，糞土之牆，不可杇也；於予與何誅！」子曰：「始吾於人也，聽其言而信其行；今吾於人也，聽其言而觀其行；於予與改是。」,Analects IX.10,"Tsai Yu being asleep during the daytime, the Master said, ""Rotten wood cannot be carved; a wall of dirty earth will not receive the trowel. This Yu!—what is the use of my reproving him?"" The Master said, ""At first, my way with men was to hear their words, and give them credit for their conduct. Now my way is to hear their words, and look at their conduct. It is from Yu that I have learned to make this change."""
lunyu__book-05-gongyechang__011__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,11,論語 5.11,子曰：「吾未見剛者。」或對曰：「申棖。」子曰：「棖也慾！焉得剛？」,Analects X.11,"The Master said, ""I have not seen a firm and unbending man."" Some one replied, ""There is Shan Ch'ang."" ""Ch'ang,"" said the Master, ""is under the influence of his passions; how can he be pronounced firm and unbending?"""
lunyu__book-05-gongyechang__012__zhwikisource-20260529__legge-cc-v1-1893,book-05-gongyechang,exact_or_near_exact,0.99,12,論語 5.12,子貢曰：「我不欲人之加諸我也，吾亦欲無加諸人。」子曰：「賜也，非爾所及也！」,Analects XI.12,"Tsze-kung said, ""What I do not wish men to do to me, I also wish not to do to men."" The Master said, ""Ts'ze, you have not attained to that."""
